Title,Link,Company,Date
PHP-разработчик,https://hh.ru/vacancy/40897012?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Group-IB,2020-12-09 00:00:00
Team Lead C++ Developer,https://hh.ru/vacancy/40860182?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,АНКОР,2020-12-08 00:00:00
Инженер-программист (C++),https://rabota.by/vacancy/39453061?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ОАО Пеленг,2020-12-07 00:00:00
С++ Game Developer (Программист C++),https://hh.ru/vacancy/40872525?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Playrix,2020-12-08 00:00:00
Frontend (react) разработчик,https://hh.ru/vacancy/40897129?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Group-IB,2020-12-09 00:00:00
Senior Java/Go developer,https://rabota.by/vacancy/40207368?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,instinctools,2020-12-02 00:00:00
Senior C++ Game Developer (Ведущий программист С++),https://hh.ru/vacancy/40813517?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Playrix,2020-12-04 00:00:00
QA Automation Engineer (Python),https://rabota.by/vacancy/40736671?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,a1qa,2020-12-01 00:00:00
Java Data Engineer,https://rabota.by/vacancy/41177816?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,"Плэйтика Бел, ИООО",2020-12-28 00:00:00
Data Integration Engineer,https://rabota.by/vacancy/39846131?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,"Wargaming, Minsk (Game Stream)",2020-12-28 00:00:00
